fullVisitorId,bounces,time_on_site,will_buy_on_return_visit
2706961341001088633,0,15047,0
5531986444834608429,0,9138,0
5564610750564086192,0,9564,0
6957245643416321514,0,12136,0
6879336706336070910,0,8872,0
0434744388841615987,0,9974,0
3924372865099736100,0,10046,0
5208937953046059083,0,11201,0
4691667039083430712,0,9520,0
5037208788065339806,0,9275,1
